#Data tag : 24v1 , Norm tag: composite
+-------------+-------------------+------+--------------------------+----------------+---------------+
| run:fill    | time              | ncms | hltpath                  | delivered(/fb) | recorded(/fb) |
| 304625:6279 | 10/07/17 09:35:53 | 462  | DST_HT410_PFScouting_v12 | 0.154891172    | 0.136309938   |
| 304626:6279 | 10/07/17 12:38:44 | 8    | DST_HT410_PFScouting_v12 | 0.002531789    | 0.002315882   |
| 304654:6283 | 10/08/17 03:25:39 | 645  | DST_HT410_PFScouting_v12 | 0.205631659    | 0.173597580   |
| 304655:6283 | 10/08/17 07:39:51 | 1194 | DST_HT410_PFScouting_v12 | 0.238836044    | 0.229947014   |
| 304661:6284 | 10/08/17 17:49:49 | 142  | DST_HT410_PFScouting_v12 | 0.049054648    | 0.046163719   |
| 304662:6284 | 10/08/17 19:02:49 | 147  | DST_HT410_PFScouting_v12 | 0.047255535    | 0.043509010   |
| 304663:6284 | 10/08/17 20:01:29 | 689  | DST_HT410_PFScouting_v12 | 0.185544278    | 0.177083905   |
| 304671:6285 | 10/09/17 02:42:58 | 1139 | DST_HT410_PFScouting_v12 | 0.325263556    | 0.308364239   |
| 304672:6285 | 10/09/17 10:09:10 | 60   | DST_HT410_PFScouting_v12 | 0.012453585    | 0.012167963   |
| 304737:6287 | 10/09/17 21:53:10 | 75   | DST_HT410_PFScouting_v12 | 0.025833797    | 0.024061358   |
| 304738:6287 | 10/09/17 22:24:42 | 1677 | DST_HT410_PFScouting_v12 | 0.426096301    | 0.409354391   |
| 304739:6287 | 10/10/17 09:20:18 | 11   | DST_HT410_PFScouting_v12 | 0.001730051    | 0.001550956   |
| 304740:6287 | 10/10/17 09:25:27 | 278  | DST_HT410_PFScouting_v12 | 0.040808991    | 0.039852170   |
| 304776:6288 | 10/10/17 14:08:18 | 41   | DST_HT410_PFScouting_v12 | 0.014137128    | 0.009373711   |
| 304777:6288 | 10/10/17 14:27:41 | 497  | DST_HT410_PFScouting_v12 | 0.164395026    | 0.156559623   |
| 304778:6288 | 10/10/17 17:47:07 | 1297 | DST_HT410_PFScouting_v12 | 0.273930564    | 0.266216593   |
| 304797:6291 | 10/11/17 09:04:09 | 2910 | DST_HT410_PFScouting_v12 | 0.579665722    | 0.557402679   |
| 305044:6297 | 10/13/17 23:00:45 | 218  | DST_HT410_PFScouting_v12 | 0.071576280    | 0.067132644   |
| 305045:6297 | 10/14/17 01:11:07 | 873  | DST_HT410_PFScouting_v12 | 0.211531418    | 0.202352038   |
| 305046:6297 | 10/14/17 06:51:45 | 683  | DST_HT410_PFScouting_v12 | 0.111406156    | 0.108548626   |
| 305059:6298 | 10/14/17 13:45:00 | 510  | DST_HT410_PFScouting_v12 | 0.172743358    | 0.157786386   |
| 305062:6298 | 10/14/17 17:13:17 | 5    | DST_HT410_PFScouting_v12 | 0.001683915    | 0.001305638   |
| 305063:6298 | 10/14/17 17:18:15 | 35   | DST_HT410_PFScouting_v12 | 0.011546876    | 0.009565485   |
| 305064:6298 | 10/14/17 17:34:27 | 2045 | DST_HT410_PFScouting_v12 | 0.391763826    | 0.380018945   |
| 305081:6300 | 10/15/17 11:05:35 | 1056 | DST_HT410_PFScouting_v12 | 0.333987552    | 0.315140453   |
| 305112:6303 | 10/16/17 01:07:00 | 1455 | DST_HT410_PFScouting_v12 | 0.419299792    | 0.400956804   |
| 305113:6303 | 10/16/17 10:40:46 | 59   | DST_HT410_PFScouting_v12 | 0.011402734    | 0.010930752   |
| 305114:6303 | 10/16/17 11:05:22 | 526  | DST_HT410_PFScouting_v12 | 0.087283980    | 0.085167818   |
| 305178:6304 | 10/16/17 19:19:50 | 53   | DST_HT410_PFScouting_v12 | 0.018466100    | 0.017181663   |
| 305179:6304 | 10/16/17 19:41:42 | 17   | DST_HT410_PFScouting_v12 | 0.005923715    | 0.003856497   |
| 305180:6304 | 10/16/17 19:50:42 | 5    | DST_HT410_PFScouting_v12 | 0.001728826    | 0.000554954   |
| 305181:6304 | 10/16/17 19:55:03 | 7    | DST_HT410_PFScouting_v12 | 0.002465674    | 0.000585574   |
| 305182:6304 | 10/16/17 20:00:34 | 5    | DST_HT410_PFScouting_v12 | 0.001738958    | 0.000951367   |
| 305183:6304 | 10/16/17 20:04:56 | 232  | DST_HT410_PFScouting_v12 | 0.080660377    | 0.077319804   |
| 305184:6304 | 10/16/17 21:50:14 | 8    | DST_HT410_PFScouting_v12 | 0.002747195    | 0.000103732   |
| 305186:6304 | 10/16/17 21:58:49 | 415  | DST_HT410_PFScouting_v12 | 0.127495967    | 0.122050118   |
| 305188:6304 | 10/17/17 01:07:05 | 1002 | DST_HT410_PFScouting_v12 | 0.204476365    | 0.198329647   |
| 305202:6305 | 10/17/17 10:18:29 | 648  | DST_HT410_PFScouting_v12 | 0.220347980    | 0.207759559   |
| 305204:6305 | 10/17/17 15:20:31 | 1229 | DST_HT410_PFScouting_v12 | 0.262804247    | 0.254512562   |
| 305207:6306 | 10/18/17 01:34:03 | 1026 | DST_HT410_PFScouting_v12 | 0.331401883    | 0.318101281   |
| 305208:6306 | 10/18/17 08:15:41 | 372  | DST_HT410_PFScouting_v12 | 0.086604556    | 0.083056036   |
| 305234:6307 | 10/18/17 13:00:15 | 46   | DST_HT410_PFScouting_v12 | 0.016054104    | 0.012655354   |
| 305236:6307 | 10/18/17 13:28:42 | 23   | DST_HT410_PFScouting_v12 | 0.008001486    | 0.006486870   |
| 305237:6307 | 10/18/17 13:42:18 | 1146 | DST_HT410_PFScouting_v12 | 0.353830403    | 0.337866398   |
| 305247:6308 | 10/19/17 01:58:28 | 375  | DST_HT410_PFScouting_v12 | 0.130737196    | 0.122425911   |
| 305248:6308 | 10/19/17 04:26:29 | 952  | DST_HT410_PFScouting_v12 | 0.271764509    | 0.257882530   |
| 305252:6308 | 10/19/17 11:09:00 | 548  | DST_HT410_PFScouting_v12 | 0.097354287    | 0.095039739   |
| 305282:6309 | 10/19/17 17:28:19 | 133  | DST_HT410_PFScouting_v12 | 0.046409666    | 0.044344542   |
| 305310:6311 | 10/19/17 22:28:01 | 389  | DST_HT410_PFScouting_v12 | 0.135532409    | 0.127514929   |
| 305311:6311 | 10/20/17 01:03:23 | 153  | DST_HT410_PFScouting_v12 | 0.050760572    | 0.047386625   |
| 305312:6311 | 10/20/17 02:05:08 | 227  | DST_HT410_PFScouting_v12 | 0.072385318    | 0.068271226   |
| 305313:6311 | 10/20/17 03:35:47 | 739  | DST_HT410_PFScouting_v12 | 0.178188668    | 0.170164197   |
| 305314:6311 | 10/20/17 08:25:45 | 404  | DST_HT410_PFScouting_v12 | 0.070088392    | 0.068334406   |
| 305336:6312 | 10/20/17 14:11:09 | 206  | DST_HT410_PFScouting_v12 | 0.071098447    | 0.066202888   |
| 305338:6312 | 10/20/17 15:32:38 | 103  | DST_HT410_PFScouting_v12 | 0.035349336    | 0.033111775   |
| 305341:6312 | 10/20/17 16:14:05 | 500  | DST_HT410_PFScouting_v12 | 0.159373769    | 0.151780463   |
| 305349:6312 | 10/20/17 19:29:36 | 30   | DST_HT410_PFScouting_v12 | 0.008268114    | 0.003880846   |
| 305350:6312 | 10/20/17 19:43:01 | 15   | DST_HT410_PFScouting_v12 | 0.004064653    | 0.003820111   |
| 305351:6312 | 10/20/17 19:51:38 | 868  | DST_HT410_PFScouting_v12 | 0.185011654    | 0.178341011   |
| 305358:6313 | 10/21/17 04:01:05 | 158  | DST_HT410_PFScouting_v12 | 0.055191382    | 0.049593829   |
| 305364:6314 | 10/21/17 07:43:21 | 94   | DST_HT410_PFScouting_v12 | 0.032501324    | 0.030414385   |
